,Symbol,Owner,Relationship,Date,Cost,# Shares,Value($),Total Shares,Filing,Type
96,TIPT,Barnes Michael Gene,Executive Chairman,"Apr 21, 2020",$5.04,2771,13955,8257467,"Apr 23, 2020, 09:48 AM",buy
97,SPLP,LICHTENSTEIN WARREN G,Executive Chairman,"Apr 21, 2020",$4.80,400,1920,189227,"Apr 23, 2020, 06:00 AM",buy
98,SPLP,LICHTENSTEIN WARREN G,Executive Chairman,"Apr 20, 2020",$4.91,1215,5966,188827,"Apr 23, 2020, 06:00 AM",buy
99,SPLP,LICHTENSTEIN WARREN G,Executive Chairman,"Apr 22, 2020",$4.79,3491,16716,192718,"Apr 23, 2020, 06:00 AM",buy
100,BTN,"Fundamental Global Investors, LLC",Director,"Apr 20, 2020",$1.53,2334,3570,1607242,"Apr 22, 2020, 08:41 PM",buy
101,BTN,"Fundamental Global Investors, LLC",Director,"Apr 21, 2020",$1.45,2334,3373,1624659,"Apr 22, 2020, 08:41 PM",buy
102,BTN,"Fundamental Global Investors, LLC",Director,"Apr 21, 2020",$1.45,2334,3373,1609576,"Apr 22, 2020, 08:41 PM",buy
103,BTN,"Fundamental Global Investors, LLC",Director,"Apr 22, 2020",$1.45,2334,3378,1626993,"Apr 22, 2020, 08:41 PM",buy
104,BTN,"Fundamental Global Investors, LLC",Director,"Apr 20, 2020",$1.53,2334,3570,1622325,"Apr 22, 2020, 08:41 PM",buy
105,BTN,"Fundamental Global Investors, LLC",Director,"Apr 22, 2020",$1.45,2334,3378,1611910,"Apr 22, 2020, 08:41 PM",buy
1,BTN,"Fundamental Global Investors, LLC",Director,"Apr 21, 2020",$1.45,2334,3373,1609576,"Apr 22, 2020, 08:41 PM",buy
2,BTN,"Fundamental Global Investors, LLC",Director,"Apr 22, 2020",$1.45,2334,3378,1626993,"Apr 22, 2020, 08:41 PM",buy
3,BTN,"Fundamental Global Investors, LLC",Director,"Apr 20, 2020",$1.53,2334,3570,1622325,"Apr 22, 2020, 08:41 PM",buy
4,BTN,"Fundamental Global Investors, LLC",Director,"Apr 22, 2020",$1.45,2334,3378,1611910,"Apr 22, 2020, 08:41 PM",buy
5,BTN,"Fundamental Global Investors, LLC",Director,"Apr 20, 2020",$1.53,2334,3570,1607242,"Apr 22, 2020, 08:41 PM",buy
6,BTN,"Fundamental Global Investors, LLC",Director,"Apr 21, 2020",$1.45,2334,3373,1624659,"Apr 22, 2020, 08:41 PM",buy
7,BKTI,"Fundamental Global Investors, LLC",Director,"Apr 22, 2020",$2.39,2390,5704,1171514,"Apr 22, 2020, 08:40 PM",buy
8,BKTI,"Fundamental Global Investors, LLC",Director,"Apr 20, 2020",$2.40,3044,7297,1167360,"Apr 22, 2020, 08:40 PM",buy
9,BKTI,"Fundamental Global Investors, LLC",Director,"Apr 22, 2020",$2.39,1024,2444,714877,"Apr 22, 2020, 08:40 PM",buy
10,BKTI,"Fundamental Global Investors, LLC",Director,"Apr 20, 2020",$2.40,1305,3128,713097,"Apr 22, 2020, 08:40 PM",buy
11,BKTI,"Fundamental Global Investors, LLC",Director,"Apr 21, 2020",$2.42,1764,4261,1169124,"Apr 22, 2020, 08:40 PM",buy
12,BKTI,"Fundamental Global Investors, LLC",Director,"Apr 21, 2020",$2.42,756,1826,713853,"Apr 22, 2020, 08:40 PM",buy
13,AMAR,CHEN STEPHEN T,"President,Chairman,CEO,CFO","Apr 21, 2020",$0.27,100,27,776700,"Apr 22, 2020, 07:51 PM",buy
14,BOCH,Muttera Robert H,EVP Chief Credit Officer,"Apr 21, 2020",$6.90,2000,13800,116158,"Apr 22, 2020, 07:13 PM",buy
15,HII,Bilden Philip M.,Director,"Apr 21, 2020",$185.00,540,99900,14683,"Apr 22, 2020, 07:12 PM",buy
16,BOCH,Gibson Joseph,Director,"Apr 21, 2020",$6.58,10000,65800,130988,"Apr 22, 2020, 06:47 PM",buy
17,BOCH,TULLIS LYLE L,Director,"Apr 21, 2020",$6.88,20000,137600,300365,"Apr 22, 2020, 06:42 PM",buy
18,SPWR,TOTAL S.A.,Director,"Apr 21, 2020",$6.11,10100,61689,87933295,"Apr 22, 2020, 06:34 PM",buy
19,SPWR,TOTAL S.A.,Director,"Apr 20, 2020",$6.36,82932,527132,87923195,"Apr 22, 2020, 06:34 PM",buy
20,QMCO,"B. Riley Financial, Inc.",10% Owner,"Apr 21, 2020",$3.81,21371,81511,8538575,"Apr 22, 2020, 06:03 PM",buy
21,QMCO,"B. Riley Financial, Inc.",10% Owner,"Apr 20, 2020",$3.90,40200,156772,8517204,"Apr 22, 2020, 06:03 PM",buy
22,TREC,Quarles Patrick D.,President and CEO,"Apr 22, 2020",$5.40,5810,31374,208067,"Apr 22, 2020, 05:18 PM",buy
23,CUTR,PLANTS J DANIEL,Director,"Apr 21, 2020",$10.50,95238,999999,485627,"Apr 22, 2020, 05:12 PM",buy
24,CUTR,Barrett Gregory A,Director,"Apr 21, 2020",$10.50,19047,199994,66624,"Apr 22, 2020, 05:10 PM",buy
25,ECC,Malik Nauman S.,CCO,"Apr 22, 2020",$6.25,1500,9375,1500,"Apr 22, 2020, 04:55 PM",buy
26,CFG,HANKOWSKY WILLIAM P,Director,"Apr 20, 2020",$20.56,10000,205600,44924,"Apr 22, 2020, 04:53 PM",buy
27,EIC,Malik Nauman S.,CCO,"Apr 22, 2020",$9.27,1250,11588,1250,"Apr 22, 2020, 04:52 PM",buy
28,KEY,GILLIS RUTH ANN M,Director,"Apr 20, 2020",$11.10,4485,49784,53597,"Apr 22, 2020, 04:50 PM",buy
29,HQI,Hermanns Richard,President and CEO,"Apr 21, 2020",$6.20,2500,15500,5856190,"Apr 22, 2020, 04:44 PM",buy
30,HQI,Hermanns Richard,President and CEO,"Apr 20, 2020",$6.49,2500,16221,5853690,"Apr 22, 2020, 04:44 PM",buy
